speed_adv,stat_adv,coverage_adv,weakness_adv,hp_adv,atk_adv,sp_atk_adv,def_adv,type_diversity_adv,role_balance_a,matchup_adv,speed_control_adv,dmg_matchup_adv,winner
-6.25,-30.5,3.0,-1.0,-13.75,-6.5,0.0,-2.5,1.0,0.8,-0.25,0.0,-0.2583,1
1.25,-16.25,-4.0,1.25,-5.25,-14.25,1.25,0.75,-1.0,0.2,-1.25,0.0,-0.8383,1
1.0,-50.5,0.0,0.0,-6.25,-10.5,-12.5,-12.25,2.0,0.6,0.75,-1.0,0.53,1
10.25,-21.5,2.0,-0.5,-56.75,2.5,12.5,38.75,1.0,0.4,-1.0,2.0,-0.4583,0
44.75,120.5,-1.0,-1.25,-1.25,22.5,30.0,-4.25,1.0,0.6,0.25,4.0,0.3717,0
20.0,66.25,3.0,-1.5,20.0,0.75,18.75,-3.25,3.0,0.6,0.25,1.0,0.25,0
10.0,-8.75,-4.0,1.0,-12.5,-2.25,-3.75,10.0,-2.0,0.6,0.0,0.0,0.1,0
17.25,10.0,4.0,-1.25,5.0,16.5,-7.5,-6.25,1.0,0.4,-0.125,1.0,0.16,1
-48.75,-210.0,4.0,0.5,-28.5,-44.0,-43.75,-5.0,1.0,0.6,0.5,-3.0,-0.3017,1
-8.75,-53.75,0.0,-1.0,10.0,-18.0,1.25,-33.25,1.0,0.6,0.5,0.0,0.15,0
17.5,80.25,2.0,0.5,36.5,3.0,18.75,15.5,2.0,0.6,0.25,1.0,0.3083,0
3.0,-22.5,2.0,-0.25,-7.5,-8.75,16.25,-41.75,1.0,0.6,0.0,1.0,0.025,1
-10.0,9.0,-2.0,0.75,12.75,9.75,-15.0,21.25,-2.0,0.4,0.375,-2.0,0.1983,1
3.25,-26.5,-1.0,1.0,8.5,-9.5,-22.5,-11.25,-1.0,0.6,0.25,1.0,-0.1833,1
1.25,41.25,0.0,-0.5,-8.5,17.25,21.25,-10.0,1.0,0.6,0.75,1.0,0.63,0
-17.25,15.0,2.0,-0.75,18.5,-11.75,8.75,11.75,2.0,0.8,-0.25,-3.0,-0.2867,1
-42.75,-16.5,-1.0,0.0,14.25,-11.5,7.5,12.25,-1.0,0.8,1.75,-3.0,1.1,0
16.0,-71.75,0.0,0.5,-26.0,-19.5,3.75,-27.25,1.0,0.6,-0.5,0.0,-0.3717,1
28.75,-35.0,1.0,-1.5,-13.5,3.0,-28.75,-15.75,-2.0,0.6,0.0,2.0,-0.03,0
7.5,-7.25,0.0,-0.5,-15.75,-4.25,-3.25,7.75,0.0,0.4,0.25,1.0,0.17,0
1.75,72.5,2.0,-0.75,15.5,-1.5,26.5,22.5,0.0,0.4,-0.25,0.0,0.0117,0
-19.5,13.5,-2.0,0.0,19.5,-3.5,2.25,16.0,0.0,0.6,0.5,-1.0,0.19,1
-0.5,-13.0,0.0,0.5,-4.0,-30.75,11.25,-7.75,1.0,0.6,0.5,0.0,0.2617,0
4.25,46.25,1.0,0.0,3.25,-4.75,12.75,28.25,-1.0,0.6,0.75,0.0,0.3833,0
-3.25,-146.0,-3.0,0.75,-18.5,-41.25,-15.0,-26.75,-2.0,0.6,0.0,0.0,-0.2167,1
-3.5,117.5,0.0,-0.75,17.5,40.0,17.5,42.25,-1.0,0.4,0.25,0.0,0.4667,0
27.0,58.0,-2.0,0.75,-30.0,6.75,60.0,-12.0,0.0,0.6,1.75,3.0,1.5317,0
-1.25,4.75,4.0,-1.0,-20.0,-17.5,20.25,14.25,3.0,0.4,0.25,0.0,0.2333,0
-7.25,43.25,4.0,0.25,13.25,16.75,-12.5,8.0,1.0,0.6,-0.5,-1.0,-0.2583,1
18.75,69.75,-3.0,1.5,23.25,-20.5,37.0,-1.25,-1.0,0.4,0.25,2.0,0.17,0
-13.75,-52.5,-3.0,0.75,-2.5,-37.0,-6.25,5.75,-1.0,0.4,-1.0,0.0,-0.8167,1
10.75,27.5,4.0,-0.25,9.5,-3.5,-13.75,17.0,0.0,0.6,0.25,2.0,-0.0533,0
50.0,39.5,-2.0,1.0,-4.0,-11.0,11.5,-7.0,-1.0,0.6,1.5,3.0,1.0633,0
1.25,-30.0,-3.0,0.5,-18.75,30.5,-16.25,18.25,-2.0,0.2,-0.25,2.0,-0.0083,0
13.5,71.5,3.0,-1.25,3.75,-2.75,27.5,10.75,1.0,0.4,-0.25,1.0,0.225,0
14.75,-10.25,-4.0,0.75,9.25,-10.0,18.5,-24.0,0.0,0.6,0.0,2.0,0.1917,0
13.5,-73.75,2.0,0.25,-27.5,-4.25,-31.25,-0.5,-1.0,0.4,-1.75,2.0,-1.1367,1
-34.25,58.5,-2.0,0.25,27.5,9.75,7.0,26.25,-1.0,0.8,0.25,-3.0,0.085,1
22.75,5.0,4.0,-0.25,6.25,0.5,10.0,-32.0,2.0,0.6,0.0,3.0,0.1067,0
-8.75,-1.5,-8.0,1.5,7.25,-5.0,8.75,-21.25,-2.0,0.4,-0.75,-1.0,-0.5317,1
-17.5,58.75,2.0,-0.5,38.75,36.25,-15.0,15.0,0.0,0.8,-0.75,-1.0,-0.2667,1
-0.75,-150.5,-3.0,0.25,-40.0,-51.75,-5.0,-40.25,-1.0,0.6,0.5,0.0,0.0217,1
21.25,28.75,-1.0,0.0,-2.5,7.5,15.0,-18.75,2.0,0.2,0.0,3.0,0.1583,0
-17.5,13.25,-9.0,1.25,22.5,5.5,9.75,-16.75,-4.0,0.6,0.0,-2.0,0.0583,1
10.75,38.0,0.0,0.5,9.25,-13.5,12.5,-5.0,1.0,0.4,0.25,2.0,0.0917,0
-20.0,-97.5,1.0,-1.25,-12.25,-30.25,-11.25,17.5,0.0,0.6,0.25,-2.0,-0.135,1
16.25,106.25,1.0,0.25,-6.25,32.5,1.25,62.5,1.0,0.4,-0.25,1.0,0.0167,0
-7.25,-26.25,-2.0,0.75,-21.25,-17.0,1.25,24.25,0.0,0.4,-0.75,-1.0,-0.58,1
43.75,12.5,-5.0,2.75,-8.75,-17.5,0.0,-26.25,-3.0,0.8,0.5,4.0,0.0417,0
-12.0,10.0,-4.0,1.5,5.25,-9.5,25.0,-11.25,-1.0,0.4,-0.75,-2.0,-0.4467,1
26.25,16.0,5.0,-0.5,-60.0,2.75,30.0,13.25,1.0,0.6,0.0,2.0,0.0317,0
15.5,4.0,-3.0,0.25,1.75,-12.0,-6.25,1.25,0.0,0.4,0.75,1.0,0.3817,0
-12.75,-83.0,2.0,0.0,-10.0,-16.75,-11.5,-5.5,2.0,0.8,-0.25,-1.0,-0.4483,1
-18.75,-110.0,-3.0,1.0,-8.75,-12.5,-18.75,-31.25,-2.0,0.6,0.875,-4.0,0.4625,1
14.0,8.5,-3.0,1.75,-7.5,-15.25,22.25,-4.75,-1.0,0.4,0.5,2.0,0.1667,0
-11.5,-83.5,1.0,0.75,-6.0,-9.5,-26.25,-29.0,1.0,0.4,0.0,-1.0,-0.2567,1
9.25,-90.5,-6.0,0.75,-15.0,-38.5,-8.75,-22.5,-1.0,0.6,0.0,1.0,-0.365,1
3.0,20.0,2.0,0.25,13.25,3.75,15.0,-13.75,-1.0,0.4,0.0,0.0,0.015,0
-17.5,13.25,0.0,0.0,54.0,-10.75,-11.25,-8.75,1.0,0.6,-1.25,-2.0,-0.5633,1
-3.25,-29.75,-6.0,1.0,43.5,-15.75,-31.75,-17.5,-3.0,0.6,0.0,0.0,-0.2333,1
15.0,78.5,1.0,0.0,12.25,28.25,17.25,0.75,0.0,0.8,0.25,2.0,0.395,0
-14.5,34.25,5.0,-1.5,24.0,11.25,-0.25,3.5,3.0,0.8,-1.5,-2.0,-0.6533,1
13.25,-45.75,-6.0,1.5,-3.25,-16.25,-10.5,-14.5,-2.0,0.6,0.5,0.0,0.0917,0
-4.0,-37.25,1.0,0.0,-1.75,8.25,-30.75,10.5,-2.0,0.4,-0.25,1.0,-0.4283,0
-24.25,-34.75,2.0,0.25,-8.0,-23.75,13.25,22.25,2.0,0.4,0.0,-3.0,-0.135,1
23.75,-7.5,-5.0,1.75,4.75,-30.5,-5.0,0.75,-1.0,0.4,-0.25,2.0,-0.2483,0
0.75,29.75,0.0,1.75,1.5,5.25,5.0,4.75,-2.0,0.4,0.0,0.0,0.0117,0
-0.5,-51.75,-5.0,1.0,-23.75,-9.5,2.5,-24.0,-2.0,0.4,0.75,0.0,0.3217,0
-16.0,12.5,4.0,-1.25,1.75,13.5,-1.5,-0.25,1.0,0.6,0.0,-2.0,0.0633,1
11.0,51.75,-1.0,-0.5,22.0,-17.5,27.5,6.25,2.0,0.6,-0.25,1.0,-0.3583,0
33.0,128.75,0.0,-0.75,0.25,28.5,17.5,14.5,1.0,0.6,-0.25,3.0,0.0233,0
-2.0,-24.75,-3.0,0.0,-1.75,-3.0,-20.0,-6.25,-2.0,0.8,0.0,-1.0,-0.1483,1
20.5,21.25,7.0,-1.0,-10.0,-12.5,16.25,-13.0,2.0,0.6,-0.25,3.0,-0.0417,0
-18.75,-167.5,4.0,-1.25,-61.0,-0.75,-45.0,0.5,2.0,0.4,-0.5,-2.0,-0.505,1
-7.0,-63.25,-2.0,2.5,-1.75,-10.75,-15.0,-17.5,-1.0,0.6,-0.5,-1.0,-0.4817,1
-9.0,-1.0,-1.0,0.5,-14.5,20.5,-2.5,8.25,-1.0,0.4,0.0,-1.0,0.2,1
-13.75,34.5,1.0,-1.0,18.75,33.75,-22.5,22.25,0.0,0.6,-0.5,-1.0,-0.075,0
4.5,26.75,0.0,-0.5,-0.75,24.0,-7.25,5.0,0.0,0.2,-0.5,1.0,-0.0217,1
4.25,62.0,1.0,-0.25,6.25,7.5,17.25,-3.0,0.0,0.6,-0.25,0.0,0.1167,0
22.5,59.75,-1.0,0.25,9.75,4.75,17.25,-3.25,-1.0,0.6,-0.25,3.0,-0.0067,0
-8.25,-140.5,3.0,-1.0,-32.5,-29.75,-20.0,-12.5,3.0,0.4,-0.75,-1.0,-0.5817,1
21.25,56.25,-1.0,0.75,-6.25,18.75,10.0,7.5,-1.0,0.2,-0.25,3.0,-0.0333,0
-11.25,-4.0,3.0,-1.25,-2.75,4.0,-12.75,22.5,2.0,0.6,-1.75,-2.0,-0.9133,1
-17.5,-4.5,0.0,-0.5,-7.5,23.75,-31.25,54.25,1.0,0.4,0.25,-1.0,0.075,0
-41.75,-94.5,-4.0,0.75,45.5,-53.25,-33.75,-7.75,-1.0,0.6,-0.125,-4.0,-0.5125,1
-6.0,-120.0,-2.0,1.0,-19.0,-10.5,-51.25,-19.5,-1.0,0.6,0.5,-1.0,0.0967,1
-10.25,-51.25,1.0,-0.75,-6.25,-6.75,15.0,-35.5,0.0,0.6,1.5,-2.0,0.8967,0
-28.75,-62.0,-1.0,-0.5,16.0,-20.25,-18.75,-5.5,0.0,0.4,-0.75,-4.0,-0.8,1
23.25,151.75,5.0,-1.0,20.25,11.75,47.75,35.0,2.0,0.6,-1.75,2.0,-0.6617,1
13.0,-11.5,1.0,-0.75,-5.5,0.25,-2.5,-13.0,0.0,0.8,0.0,3.0,0.01,0
10.25,44.25,-3.0,-0.5,10.0,28.0,-10.0,4.75,-1.0,0.4,-0.25,0.0,-0.0767,1
-17.25,-1.25,-1.0,-1.25,-5.0,-25.0,-1.25,56.0,0.0,0.6,0.25,-2.0,0.0083,1
-16.75,-38.75,4.0,-0.5,-10.25,-3.0,-38.75,12.5,0.0,0.6,-1.25,-3.0,-1.0,1
2.75,-59.25,5.0,0.0,-30.25,-15.5,-17.5,18.75,3.0,0.4,-0.5,0.0,-0.445,0
25.0,181.75,0.0,0.5,20.5,38.5,34.75,40.75,0.0,0.4,-0.25,3.0,0.16,0
7.75,19.75,-3.0,0.0,9.5,-8.25,6.25,0.75,-1.0,0.6,0.0,2.0,0.0583,0
8.5,14.5,0.0,-0.5,6.0,23.75,-17.25,-10.25,-1.0,0.6,1.5,2.0,0.6483,0
-14.25,-82.25,3.0,-0.5,-20.25,-20.5,1.75,-15.75,0.0,0.4,0.25,-2.0,0.1067,1
-11.75,-46.0,-1.0,0.25,-4.25,-11.25,1.25,-6.25,-1.0,0.4,0.25,-2.0,-0.005,1
-20.5,-160.5,-5.0,1.25,-36.75,-29.25,-40.5,10.75,-2.0,0.4,0.25,-4.0,-0.3367,1
-1.0,-46.0,-1.0,-1.0,-1.5,-6.75,-12.5,-29.25,2.0,0.6,0.25,0.0,0.0167,1
-11.0,-134.25,-6.0,0.25,-19.75,-29.0,-38.5,-25.5,-2.0,0.6,0.75,-1.0,0.035,1
-6.75,12.5,-3.0,-0.5,-18.75,14.5,8.75,19.75,-2.0,0.4,0.5,-1.0,0.43,0
-13.0,-116.25,2.0,-1.0,-13.75,-13.75,-26.25,-10.75,1.0,0.6,-0.75,-2.0,-0.55,1
-12.0,-65.5,3.0,0.5,-32.0,4.25,-8.25,12.5,0.0,0.4,-0.25,-1.0,-0.11,1
20.5,-17.25,3.0,-0.25,-25.25,5.0,-5.5,10.5,1.0,0.4,0.0,2.0,0.0167,0
43.0,102.0,-2.0,1.0,17.75,26.75,7.5,-40.5,-1.0,0.6,-0.25,4.0,0.1783,0
-6.0,11.25,-1.0,0.25,-21.0,26.75,-32.5,51.5,-1.0,0.6,0.0,-1.0,0.0233,0
-11.0,30.0,2.0,0.0,23.5,4.5,-15.0,36.75,1.0,0.4,-0.25,-3.0,-0.0533,1
-3.5,-50.25,-6.0,2.5,0.75,-8.5,-16.25,-18.75,-2.0,0.6,-1.0,-1.0,-0.6542,1
-13.5,-10.75,3.0,-2.0,4.0,-11.75,16.25,1.5,1.0,0.6,-1.25,-2.0,-0.7,1
-17.5,-92.5,-4.0,2.0,2.5,-15.0,-16.25,-37.5,-3.0,0.4,0.25,-2.0,0.1083,1
-8.75,-86.75,0.0,0.0,13.75,-23.75,-29.0,-32.5,1.0,0.4,0.0,-3.0,-0.3917,1
20.5,21.75,-1.0,-1.0,-20.75,7.5,14.25,-1.5,-1.0,0.4,1.5,4.0,1.105,0
12.5,36.25,-1.0,1.5,7.5,-9.75,22.5,-2.75,0.0,0.6,0.25,2.0,0.2167,0
-26.5,-8.0,2.0,-0.25,10.0,-3.0,10.0,6.5,0.0,0.2,-0.5,-3.0,-0.2317,1
-26.25,-36.25,-1.0,0.5,0.25,11.75,2.5,-23.25,1.0,0.2,-0.25,-3.0,0.1483,1
-14.75,-58.25,5.0,-1.25,13.0,-2.25,-28.75,-5.5,0.0,0.6,0.75,-2.0,0.545,0
-19.0,-7.25,2.0,-0.5,1.75,2.75,-22.25,25.75,-2.0,0.6,-1.25,-2.0,-0.665,1
-30.0,-84.25,6.0,-0.25,-6.25,15.0,-48.75,14.75,1.0,0.8,-0.25,-2.0,-0.35,1
-3.25,9.25,4.0,-0.75,0.0,0.5,0.0,7.0,-1.0,0.8,0.5,1.0,0.3283,0
20.0,-15.0,-3.0,0.75,-13.0,-18.5,-1.0,-1.25,-1.0,0.4,0.0,2.0,-0.2883,0
-13.75,-99.75,1.0,-0.5,-25.75,-10.25,-27.0,-8.75,0.0,0.4,-2.25,-1.0,-1.8717,1
-33.5,-105.25,-1.0,2.0,50.75,-42.5,-33.75,-41.25,0.0,0.4,0.0,-3.0,-0.3,1
1.25,118.25,2.0,-0.25,12.5,24.75,17.5,48.5,2.0,0.8,0.0,1.0,0.3317,0
-18.75,-84.75,3.0,0.5,-14.0,-20.0,-17.5,-8.0,2.0,0.4,-1.25,-2.0,-1.0767,1
-5.0,-14.25,-1.0,-0.5,-9.0,-0.25,4.25,8.75,-1.0,0.4,-0.5,-2.0,-0.2433,1
-10.25,-68.25,-1.0,0.5,-8.75,6.25,-31.0,5.25,-1.0,0.4,-0.5,-1.0,-0.55,1
-13.0,18.0,-2.0,0.75,61.25,-8.25,-5.75,-15.0,0.0,0.6,-0.25,-2.0,-0.01,1
-21.0,-112.75,3.0,-1.5,-11.75,-51.25,-8.75,-12.5,2.0,0.4,-0.25,-3.0,-0.5,1
-5.0,-11.75,-2.0,0.25,25.75,7.25,0.0,-31.25,1.0,0.6,0.0,0.0,-0.0433,1
-25.75,46.75,3.0,-1.75,22.25,-4.75,9.75,22.25,1.0,0.6,0.5,-2.0,0.215,0
25.0,-8.75,2.0,0.5,-10.5,-17.0,11.25,-10.0,0.0,0.8,0.75,2.0,0.3167,0
5.75,-60.0,1.0,0.25,-27.5,-20.75,3.75,-22.5,-1.0,0.4,0.0,0.0,-0.21,1
3.25,-47.0,0.0,0.25,-27.75,-25.0,1.75,9.5,-1.0,0.8,0.5,-1.0,0.2133,1
-30.75,-53.75,4.0,0.25,33.75,-8.75,-31.25,-35.5,2.0,0.6,0.5,-4.0,0.1833,1
-5.0,8.75,-3.0,2.5,25.0,12.5,-7.5,-23.75,-1.0,0.6,1.0,0.0,0.4333,0
10.75,70.0,-1.0,-0.25,61.5,-17.25,8.75,-25.0,1.0,0.6,0.5,1.0,0.2217,0
-0.5,-30.0,-5.0,1.75,-5.0,-22.0,14.25,-6.75,0.0,0.6,-0.5,0.0,-0.4767,1
13.0,31.75,-1.0,0.5,7.0,3.5,-10.5,-4.5,-1.0,0.6,0.25,1.0,0.14,0
20.25,101.0,3.0,-0.5,22.75,31.75,21.25,6.25,1.0,0.8,-1.5,2.0,-0.275,1
-5.25,-63.75,-3.0,-0.25,-1.0,5.0,-42.75,-5.0,0.0,0.4,0.0,0.0,-0.095,0
-8.75,-51.75,-2.0,1.5,3.25,-22.75,-2.25,-22.5,-3.0,0.6,0.5,-1.0,-0.1967,0
-4.0,-87.5,0.0,0.0,15.75,-22.0,-16.25,-37.25,0.0,0.4,-0.25,0.0,-0.2317,1
15.25,-52.75,0.0,0.0,-18.0,-5.0,-6.25,-20.0,0.0,0.4,-0.75,2.0,-0.4117,1
8.25,-20.25,-5.0,2.0,-7.0,-15.75,5.75,-3.5,-2.0,0.4,0.125,0.0,0.0567,1
-26.0,28.25,1.0,-0.75,-1.0,24.75,-21.5,44.75,-2.0,0.6,-0.25,-3.0,-0.1933,1
2.75,39.0,-4.0,0.5,8.0,35.25,-17.25,7.75,-2.0,0.6,1.0,-1.0,0.985,0
15.25,-61.5,-4.0,0.0,-31.25,-39.5,33.25,-38.0,-2.0,0.6,0.0,2.0,0.035,0
-5.75,-50.5,0.0,0.25,-7.5,-23.0,-5.0,3.25,0.0,0.4,-0.75,0.0,-0.495,1
-0.5,69.25,-3.0,-1.0,13.25,12.0,18.75,0.75,0.0,0.6,0.25,0.0,0.2133,1
-9.5,-29.5,1.0,0.75,8.0,-9.5,-0.75,-3.25,0.0,0.6,0.5,-1.0,0.0117,1
-11.25,-65.75,0.0,-0.75,-6.5,-21.75,6.25,-25.0,-1.0,0.4,-0.875,0.0,-0.5225,1
-7.5,106.25,-3.0,-0.5,66.25,11.25,31.25,-17.5,0.0,0.4,1.25,-1.0,1.45,0
10.0,-60.75,-3.0,1.25,0.75,-21.25,-11.5,-17.5,-2.0,0.4,0.25,1.0,-0.2167,1
8.75,15.0,5.0,-0.5,26.25,26.25,-33.75,-17.5,3.0,0.6,-1.5,0.0,-0.6917,1
-8.75,93.5,6.0,-2.25,21.75,44.0,1.75,35.5,3.0,0.4,0.5,-1.0,0.6517,0
-26.5,-90.0,2.0,-0.25,24.75,-36.5,-20.0,-34.25,1.0,0.6,-0.5,-4.0,-0.4283,1
29.25,78.75,-1.0,-0.25,-8.5,26.75,37.5,-16.25,0.0,0.4,0.0,4.0,0.9333,0
1.75,59.0,-5.0,2.0,17.75,41.25,-11.25,-1.75,-3.0,0.6,-0.5,-1.0,-0.1833,1
-15.5,-66.5,-6.0,0.25,-6.5,0.75,-21.25,-2.5,-2.0,0.4,-0.5,-2.0,-0.37,1
-7.0,78.5,3.0,-1.0,21.0,28.75,-6.25,37.0,1.0,0.4,0.5,0.0,0.5383,0
-11.5,-75.25,-4.0,-0.25,-18.25,-26.25,5.0,-4.0,-4.0,0.4,0.75,-3.0,0.475,1
7.5,25.5,1.0,-1.25,-15.25,0.75,21.25,5.0,0.0,0.6,-0.25,1.0,0.0883,0
-5.5,16.0,-4.0,1.25,8.25,7.25,15.0,-12.5,-1.0,0.6,1.0,1.0,0.4433,0
9.0,-45.75,0.0,1.0,-7.75,9.25,-22.5,-22.25,-1.0,0.6,0.75,0.0,0.3567,0
-4.5,9.5,1.0,-0.25,11.75,23.0,-26.25,-0.75,0.0,0.4,0.25,0.0,0.1283,0
28.75,203.0,2.0,-1.0,27.5,40.0,43.75,23.0,2.0,0.6,0.5,3.0,0.8333,0
5.0,-9.5,1.0,-1.25,-14.5,5.0,4.5,3.75,1.0,0.4,-0.5,1.0,-0.1917,0
37.5,55.5,8.0,-1.75,-0.25,8.25,15.0,-10.25,3.0,0.4,0.5,3.0,0.555,0
-5.75,113.25,1.0,-1.0,35.5,26.5,23.5,10.0,3.0,0.6,0.25,0.0,0.3383,0
-17.25,-40.0,-1.0,-0.25,7.0,-4.5,13.75,-26.5,-1.0,0.4,0.25,-3.0,0.205,1
5.5,57.75,4.0,-1.5,7.5,-7.75,30.0,-2.5,0.0,0.6,0.0,1.0,0.1233,0
37.25,96.5,4.0,-0.25,16.75,25.25,-6.25,-4.0,1.0,0.6,0.0,4.0,0.14,0
-2.0,34.25,-1.0,-2.0,13.25,13.5,-0.75,11.0,-1.0,0.6,1.0,0.0,0.4417,0
3.75,16.0,-5.0,0.75,-0.5,-4.75,33.75,-12.5,-2.0,0.4,0.75,-1.0,0.6783,0
-12.5,-86.25,-4.0,0.0,-6.5,-16.0,-12.5,-26.25,-2.0,0.6,0.25,-2.0,0.01,1
-16.0,-29.75,0.0,-1.0,3.25,-10.75,4.75,3.75,1.0,0.6,-0.5,-1.0,-0.3833,1
0.0,-32.5,0.0,0.75,-2.25,-7.5,7.25,-3.75,0.0,0.6,0.75,-2.0,0.38,0
-22.5,-30.5,-2.0,1.25,12.5,26.25,-46.25,10.75,-3.0,0.4,-0.5,-3.0,-0.5167,1
39.25,49.25,4.0,-1.25,1.25,-24.0,35.0,-23.5,1.0,0.6,-0.5,4.0,-0.435,0
-15.25,21.75,2.0,-1.0,1.5,24.0,0.5,12.25,0.0,0.6,-0.5,-2.0,0.05,1
30.0,107.25,4.0,0.75,9.5,30.25,15.0,-3.75,1.0,0.8,0.25,4.0,0.3917,0
18.0,49.75,2.0,0.0,-19.5,-9.5,15.5,19.75,1.0,0.6,0.0,2.0,0.0367,0
37.25,-31.25,1.0,0.0,-36.25,-16.25,7.5,-4.75,1.0,0.2,0.75,4.0,0.5333,0
15.75,67.5,-3.0,0.75,9.5,-5.75,51.25,-24.5,-1.0,0.6,0.0,3.0,0.36,0
-15.5,4.75,2.0,0.25,-9.25,7.0,-8.5,5.0,1.0,0.8,0.0,-2.0,0.1033,1
27.75,27.5,3.0,0.5,-13.0,1.75,14.0,-4.25,0.0,0.6,0.25,3.0,0.3933,0
-46.0,6.0,3.0,0.5,23.75,13.75,5.0,-5.5,1.0,0.6,0.0,-4.0,0.2667,1
-19.25,-74.5,-3.0,0.5,-3.75,-1.5,-23.25,-9.25,-1.0,0.6,0.0,-2.0,-0.1883,1
-33.0,-88.75,-5.0,1.75,1.25,-10.75,-21.25,-12.5,-1.0,0.4,-0.25,-4.0,-0.3933,1
3.0,13.75,-4.0,1.0,25.0,4.5,-16.25,-25.0,-2.0,0.6,0.5,1.0,-0.0167,0
7.5,84.5,4.0,0.0,23.75,9.5,18.75,0.0,1.0,0.6,-0.75,3.0,-0.2667,0
-7.5,-25.5,0.0,-1.25,-15.5,-7.25,-12.5,18.75,-1.0,0.6,-0.25,-2.0,-0.3717,1
-11.25,-144.5,-3.0,0.25,-35.0,-24.5,-6.25,-30.0,0.0,0.4,0.5,0.0,0.15,1
-19.25,-61.25,-2.0,-0.25,-3.75,-15.0,3.75,-13.25,-2.0,0.4,0.0,-2.0,-0.1,1
3.75,59.5,0.0,1.0,16.25,14.25,23.75,1.5,0.0,0.2,0.25,0.0,0.375,0
-8.5,6.5,4.0,-1.25,-6.0,17.75,-8.0,12.25,1.0,0.4,0.0,-1.0,0.185,0
